# id	category	input	expected_phrase	expected_uk	expected_us(=same)
# now = 2026-09-24T14:00 Europe/London (Thursday). Values are local. Date-only = YYYY-MM-DD, timed = YYYY-MM-DD HH:MM, "-" = no date expected.
# Todoist semantics: bare time already past today rolls to tomorrow; past day-month rolls to next year; "next <weekday>" = UK/Todoist "of next week".
T37	todoist	Gym tom evening	tom evening	2026-09-25 19:00	=
T38	todoist	Prep gifts 6 weeks before 21 Jul	6 weeks before 21 Jul	2027-06-09	=
R01	relative	Clean flat tonight	tonight	2026-09-24	=
R02	relative	Ship it next fri	next fri	2026-10-02	=
R03	relative	Ship it this friday	this friday	2026-09-25	=
R04	relative	Call plumber in 3 days	in 3 days	2026-09-27	=
R05	relative	Dentist check in 2 weeks	in 2 weeks	2026-10-08	=
R06	relative	Pay back loan in a week	in a week	2026-10-01	=
R07	relative	Book tickets day after tomorrow	day after tomorrow	2026-09-26	=
R08	relative	Team lunch on monday	on monday	2026-09-28	=
R09	relative	Team lunch wed	wed	2026-09-30	=
R10	relative	Retro thursday	thursday	2026-10-01	=
R11	relative	Pay rent in 1 month	in 1 month	2026-10-24	=
R12	relative	Renew insurance 3 days from now	3 days from now	2026-09-27	=
R13	relative	Sort garage next monday	next monday	2026-09-28	=
R14	relative	Plan party next sat	next sat	2026-10-03	=
A01	absolute	Mot due 12 oct	12 oct	2026-10-12	=
A02	absolute	Mot due oct 12	oct 12	2026-10-12	=
A03	absolute	Mot due on 12 oct	on 12 oct	2026-10-12	=
A04	absolute	Mot due 12/10	12/10	2026-10-12	2026-12-10
A05	absolute	Mot due 10/12	10/12	2026-12-10	2026-10-12
A06	absolute	Mot due 2026-10-12	2026-10-12	2026-10-12	=
A07	absolute	Mot due 12 October 2026	12 October 2026	2026-10-12	=
A08	absolute	Mot due October 12, 2026	October 12, 2026	2026-10-12	=
A09	absolute	Mot due 12th oct	12th oct	2026-10-12	=
A10	absolute	Mot due oct 12th	oct 12th	2026-10-12	=
A11	absolute	Send cards 1 jan	1 jan	2027-01-01	=
A12	absolute	Renew visa 15 sep	15 sep	2027-09-15	=
A13	absolute	Mot due 12/10/26	12/10/26	2026-10-12	2026-12-10
A14	absolute	Mot due 12.10.2026	12.10.2026	2026-10-12	=
M01	time	Standup 9am	9am	2026-09-25 09:00	=
M02	time	Call supplier 17:30	17:30	2026-09-24 17:30	=
M03	time	Call supplier at 5pm	at 5pm	2026-09-24 17:00	=
M04	time	Lunch with Sipho noon	noon	2026-09-25 12:00	=
M05	time	Deploy midnight	midnight	2026-09-25 00:00	=
M06	time	Finish report eod	eod	2026-09-24 17:00	=
M07	time	Call supplier 5.30pm	5.30pm	2026-09-24 17:30	=
M08	time	Standup 9:15am	9:15am	2026-09-25 09:15	=
M09	time	Lunch 12pm	12pm	2026-09-25 12:00	=
M10	time	Call US team at 4 PM	at 4 PM	2026-09-24 16:00	=
M11	time	Call supplier 5 pm	5 pm	2026-09-24 17:00	=
C01	combo	Dentist tomorrow 9am	tomorrow 9am	2026-09-25 09:00	=
C02	combo	Dentist tomorrow at 9am	tomorrow at 9am	2026-09-25 09:00	=
C03	combo	Dentist 9am tomorrow	9am tomorrow	2026-09-25 09:00	=
C04	combo	Demo next fri 5pm	next fri 5pm	2026-10-02 17:00	=
C05	combo	Demo fri 17:30	fri 17:30	2026-09-25 17:30	=
C06	combo	Board pack 12 oct 3pm	12 oct 3pm	2026-10-12 15:00	=
C07	combo	Board pack oct 12 at 15:00	oct 12 at 15:00	2026-10-12 15:00	=
C08	combo	Coffee monday at 9:30am	monday at 9:30am	2026-09-28 09:30	=
C09	combo	Reply in 3 days at 10am	in 3 days at 10am	2026-09-27 10:00	=
C10	combo	Movie tonight 8pm	tonight 8pm	2026-09-24 20:00	=
C11	combo	Submit today 17:30	today 17:30	2026-09-24 17:30	=
C12	combo	Flight 2026-10-12 06:45	2026-10-12 06:45	2026-10-12 06:45	=
C13	combo	Call next Monday at 3pm	next Monday at 3pm	2026-09-28 15:00	=
E01	embedded	Email Friday's report	-	-	=
E02	embedded	Monitor the build	-	-	=
E03	embedded	Decorate the tree	-	-	=
E04	embedded	Buy 2 apples	-	-	=
E05	embedded	Read chapter 12	-	-	=
E06	embedded	Satisfy the auditor	-	-	=
E07	embedded	Weekend packing list	-	-	=
E08	embedded	Call May about the lease	-	-	=
E09	embedded	Send the 3 day notice	-	-	=
E10	embedded	Book 2026 conference	-	-	=
E11	embedded	Ask Tom about invoice	-	-	=
E12	embedded	Review PR 1234	-	-	=
E13	embedded	Sunscreen shopping	-	-	=
E14	embedded	Meeting notes for Friday	Friday	2026-09-25	=
E15	embedded	Buy milk tomorrow before work	tomorrow	2026-09-25	=
E16	embedded	Fix the 9am standup bot	-	-	=
E17	embedded	Mark Wednesday Addams costume	-	-	=
E18	embedded	Octopus card top-up	-	-	=
E19	embedded	Sat nav update	-	-	=
E20	embedded	Last week's receipts	-	-	=
D01	dialect	Ship next friday	next friday	2026-10-02	2026-09-25
D02	dialect	Ship this friday	this friday	2026-09-25	=
D03	dialect	Ship next thursday	next thursday	2026-10-01	=
D04	dialect	Ship friday week	friday week	2026-10-02	=
D05	dialect	Ship 03/04	03/04	2027-04-03	2027-03-04
D06	dialect	Ship 04/10	04/10	2026-10-04	2027-04-10
L01	leave-alone	Pay rent every 1st #Home p1 !9am	-	-	=
L02	leave-alone	Buy milk #Home @errands p2	-	-	=
L03	leave-alone	Stand-up every weekday 9:30	-	-	=
L04	leave-alone	Call dentist !tomorrow 8:30	-	-	=
L05	leave-alone	Water plants every mon, wed	-	-	=
L06	leave-alone	Gym every other week	-	-	=
L07	leave-alone	#Work Prep deck tomorrow p1	tomorrow	2026-09-25	=
L08	leave-alone	Pay rent every month on the 1st	-	-	=
L09	leave-alone	Call @mum p1 friday	friday	2026-09-25	=
L10	leave-alone	Budget review every last friday	-	-	=
L11	leave-alone	Tax return #"Admin stuff" 31 jan	31 jan	2027-01-31	=
